qgis_prospect_layer,qgis_prospect_feature_id,qgis_layer,#_of_intersections,qgis_feature_id,ACTION_DTT,CIRCUIT1,CIRCUIT2,GDO_GID,OBJECTID_12,OPERATING_,ROUTE_ASSE,STATUS,Towers_In,class,endNode,fictitious,fid,formOfWay,function,identifier,length,loop,name1,name1_lang,name2,name2_lang,nameTOID,numberTOID,primary_,roadNumber,startNode,trunkRoad,bua22cd,bua22nm,bua22nmw
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,3987,,,,,3987,,,,,Classified Unnumbered,D142CE83-8111-443B-964B-6C842783E1F8,false,3987,Single Carriageway,Minor Road,00667280-75E5-4328-AF70-775B050E79A3,120.0,false,Wood Bank,,,,osgb4000000012561034,,false,,A0D77001-69DD-40DE-8151-1005844B5CC8,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,3981,,,,,3981,,,,,Unclassified,3E4B41FC-ACB2-499B-B5E1-4D699CE7D4D0,false,3981,Single Carriageway,Local Road,D6271FB8-915A-4DC2-A5A8-75504B83709B,103.0,false,,,,,,,false,,5C5FED73-2F0D-42C4-8B20-9A7E03D72F3D,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,3998,,,,,3998,,,,,Unclassified,09C97645-130E-4DC0-AF4F-8FB8A2DF6724,false,3998,Single Carriageway,Local Road,49F938F2-6567-4B67-BC73-20D2D19B02F8,40.0,false,Maes Bodaelog,,,,osgb4000000012570643,,false,,A0D77001-69DD-40DE-8151-1005844B5CC8,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,4005,,,,,4005,,,,,B Road,7906E7AA-CB7E-415C-B725-705647179693,false,4005,Single Carriageway,B Road,B4A40935-B63C-46D0-A976-78AABABB0FC5,528.0,false,Tan Y Fedw,,,,osgb4000000012561035,osgb4000000012519442,false,B5106,02B5DFC6-1EC2-47BB-805E-700A0BF80DA0,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,2,4043,,,,,4043,,,,,Classified Unnumbered,430F9A58-95FC-4CA0-8B0D-C42D192F51FF,false,4043,Single Carriageway,Minor Road,952F7573-D1F6-4333-9254-C60966F6EE30,850.0,false,,,,,,,false,,3C3C897A-DFF4-4540-AC11-25270F885926,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,4046,,,,,4046,,,,,A Road,3567F1A7-5C54-4F8C-9BD7-461F414D4975,false,4046,Single Carriageway,A Road,0530680B-7609-4D91-8A69-A911AED0A9FF,425.0,false,,,,,,osgb4000000013545073,false,A548,D1B554EF-6F74-4136-842B-5E337D6E6E94,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,4048,,,,,4048,,,,,Classified Unnumbered,BC6A2C38-C516-471C-A997-C8315FC7D211,false,4048,Single Carriageway,Minor Road,BD877B60-F4D4-4CC9-A5F1-51D2B9D1634D,490.0,false,,,,,,,false,,15E6E3EE-CEEA-4AB7-A49C-40FBDE48440F,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,4057,,,,,4057,,,,,B Road,7E28D67E-8016-4797-847B-2B0CE7F6093F,false,4057,Single Carriageway,B Road,E614A852-428C-4EB1-AFE2-B828D9739D9D,1052.0,false,,,,,,osgb4000000012519462,false,B5113,095503CC-9423-4EE7-A670-D83E3CA7815F,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,4062,,,,,4062,,,,,Unclassified,427B6D59-0974-453B-AAF6-59AC86A10C11,false,4062,Single Carriageway,Restricted Local Access Road,B0B76A31-3E62-45F4-9A65-F12A0282C0BB,120.0,false,,,,,,,false,,73068695-B743-4561-A117-15F77BD143C6,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,2,4071,,,,,4071,,,,,Classified Unnumbered,6A0BA50C-C933-4E04-92EA-D804008E1EE0,false,4071,Single Carriageway,Minor Road,EE7550E6-6C69-4444-92DB-12F6FE18656B,1464.0,false,,,,,,,false,,701C5D70-D181-41C9-AEC2-8CDF246266E4,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,8239,,,,,8239,,,,,Unknown,8365A7A7-C791-4DEB-A8C0-3CA36EDA3F2E,false,8239,Single Carriageway,Restricted Local Access Road,FA0760A5-C5E5-4F0A-8632-96DD1EC1B64A,1209.0,false,,,,,,,false,,A9D9B380-6569-4C39-9E7C-E423896AD622,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,4011,,,,,4011,,,,,Unknown,4C0031F7-11CE-4836-AC3E-47C3B6814A60,false,4011,Single Carriageway,Restricted Local Access Road,DC7FC7DD-A518-46D6-9256-9CD27F95F76A,62.0,false,,,,,,,false,,3797CE57-D8DD-451E-8B14-C05893433F82,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,2,4015,,,,,4015,,,,,Unclassified,EEDC452A-52FA-4408-8BA9-123189F08169,false,4015,Single Carriageway,Minor Road,989162E1-10A8-405E-A97F-FEDC69DE01D3,521.0,false,,,,,,,false,,3797CE57-D8DD-451E-8B14-C05893433F82,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,4009,,,,,4009,,,,,Classified Unnumbered,E8BC47A0-3251-46AE-A63C-E38454D009AE,false,4009,Single Carriageway,Minor Road,4C60B2D9-02DF-4355-BCF4-611C6F2DA3D5,581.0,false,,,,,,,false,,EEDC452A-52FA-4408-8BA9-123189F08169,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,4012,,,,,4012,,,,,Unclassified,1C71BF7C-F333-46F0-8289-6ED3EFFB3C57,false,4012,Single Carriageway,Local Road,A690670A-F726-4160-BFAC-50E61B195812,158.0,false,Ffordd Bryn Saith,,,,osgb4000000012545217,,false,,E0D381FC-CEB3-429D-A881-E57DE4951823,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,4016,,,,,4016,,,,,Not Classified,5AA37B3D-67E6-412B-AB06-9CC31D8665B0,false,4016,Single Carriageway,Restricted Local Access Road,5E651857-7E8F-499B-9E78-F978A6D7EF3A,104.0,false,,,,,,,false,,6EE29638-6196-4889-ABC1-FF6875966EC0,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,4063,,,,,4063,,,,,A Road,73068695-B743-4561-A117-15F77BD143C6,false,4063,Single Carriageway,A Road,FB25F450-B567-4363-9E83-D7F0A90AF5CA,787.0,false,,,,,,osgb4000000013545073,false,A548,F44B1519-CABC-4E61-98FB-3BCC3364074F,false,,,
prospect_layer,0,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,4064,,,,,4064,,,,,Not Classified,427B6D59-0974-453B-AAF6-59AC86A10C11,false,4064,Single Carriageway,Restricted Local Access Road,91E949D4-B3E8-48ED-9A7D-814F15339CFC,1466.0,false,,,,,,,false,,7EBCCAEB-BB40-442C-8F5B-D0C94BCA24B1,false,,,
